Test type, Queue Configuration, Extra Configuration, Number of cashiers, Day, Average Wait time, Average Slowdown, SD Wait time, Number of clients leaving, Max tollerance, Total number of arrivals, Number of simulations
0, pseudo-casuale, none, 1, 1, 383.429942, 9.627563, 0, 3000, 10, 4001, 1
0, pseudo-casuale, none, 1, 2, 391.599343, 9.683964, 0, 2878, 10, 3860, 1
0, pseudo-casuale, none, 1, 3, 371.602502, 9.508494, 0, 3048, 10, 4056, 1
0, pseudo-casuale, none, 1, 4, 369.177315, 9.185025, 0, 3058, 10, 4061, 1
0, pseudo-casuale, none, 1, 5, 372.420142, 9.418765, 0, 3018, 10, 4033, 1
0, pseudo-casuale, none, 1, 6, 396.178774, 10.082950, 0, 2797, 10, 3806, 1
0, pseudo-casuale, none, 1, 7, 418.083358, 10.577641, 0, 2524, 10, 3501, 1
0, pseudo-casuale, none, 2, 1, 446.597765, 11.373561, 0, 2022, 10, 4001, 1
0, pseudo-casuale, none, 2, 2, 448.879193, 11.492713, 0, 1870, 10, 3860, 1
0, pseudo-casuale, none, 2, 3, 442.377052, 11.208174, 0, 2095, 10, 4056, 1
0, pseudo-casuale, none, 2, 4, 435.577222, 11.094593, 0, 2058, 10, 4061, 1
0, pseudo-casuale, none, 2, 5, 436.530469, 11.108337, 0, 2037, 10, 4033, 1
0, pseudo-casuale, none, 2, 6, 457.862888, 11.701328, 0, 1839, 10, 3806, 1
0, pseudo-casuale, none, 2, 7, 467.732981, 11.915381, 0, 1549, 10, 3501, 1
0, pseudo-casuale, none, 3, 1, 458.319422, 11.684381, 0, 1090, 10, 4001, 1
0, pseudo-casuale, none, 3, 2, 463.762093, 11.740749, 0, 965, 10, 3860, 1
0, pseudo-casuale, none, 3, 3, 452.474569, 11.548792, 0, 1144, 10, 4056, 1
0, pseudo-casuale, none, 3, 4, 454.029991, 11.624711, 0, 1116, 10, 4061, 1
0, pseudo-casuale, none, 3, 5, 456.593775, 11.654361, 0, 1092, 10, 4033, 1
0, pseudo-casuale, none, 3, 6, 441.261992, 11.187067, 0, 919, 10, 3806, 1
0, pseudo-casuale, none, 3, 7, 362.965060, 9.504265, 0, 691, 10, 3501, 1
0, pseudo-casuale, none, 4, 1, 321.443108, 8.474006, 0, 300, 10, 4001, 1
0, pseudo-casuale, none, 4, 2, 310.223017, 8.232335, 0, 194, 10, 3860, 1
0, pseudo-casuale, none, 4, 3, 345.296299, 9.021518, 0, 352, 10, 4056, 1
0, pseudo-casuale, none, 4, 4, 370.287252, 9.610122, 0, 303, 10, 4061, 1
0, pseudo-casuale, none, 4, 5, 347.770908, 9.112866, 0, 239, 10, 4033, 1
0, pseudo-casuale, none, 4, 6, 305.592606, 8.117803, 0, 164, 10, 3806, 1
0, pseudo-casuale, none, 4, 7, 249.632962, 6.788284, 0, 144, 10, 3501, 1
0, pseudo-casuale, none, 5, 1, 61.758499, 2.442892, 0, 0, 10, 4001, 1
0, pseudo-casuale, none, 5, 2, 41.330978, 1.964036, 0, 0, 10, 3860, 1
0, pseudo-casuale, none, 5, 3, 63.523169, 2.477930, 0, 0, 10, 4056, 1
0, pseudo-casuale, none, 5, 4, 61.730199, 2.445858, 0, 0, 10, 4061, 1
0, pseudo-casuale, none, 5, 5, 50.516316, 2.187316, 0, 0, 10, 4033, 1
0, pseudo-casuale, none, 5, 6, 38.600182, 1.904241, 0, 0, 10, 3806, 1
0, pseudo-casuale, none, 5, 7, 39.423646, 1.918185, 0, 0, 10, 3501, 1
0, pseudo-casuale, none, 6, 1, 21.418624, 1.507668, 0, 0, 10, 4001, 1
0, pseudo-casuale, none, 6, 2, 18.013867, 1.421184, 0, 0, 10, 3860, 1
0, pseudo-casuale, none, 6, 3, 22.262933, 1.519525, 0, 0, 10, 4056, 1
0, pseudo-casuale, none, 6, 4, 21.445654, 1.496531, 0, 0, 10, 4061, 1
0, pseudo-casuale, none, 6, 5, 20.273694, 1.468566, 0, 0, 10, 4033, 1
0, pseudo-casuale, none, 6, 6, 17.341872, 1.398664, 0, 0, 10, 3806, 1
0, pseudo-casuale, none, 6, 7, 16.460794, 1.377178, 0, 0, 10, 3501, 1
0, pseudo-casuale, none, 7, 1, 11.737884, 1.279528, 0, 0, 10, 4001, 1
0, pseudo-casuale, none, 7, 2, 9.433828, 1.219732, 0, 0, 10, 3860, 1
0, pseudo-casuale, none, 7, 3, 12.283627, 1.292408, 0, 0, 10, 4056, 1
0, pseudo-casuale, none, 7, 4, 11.523648, 1.267258, 0, 0, 10, 4061, 1
0, pseudo-casuale, none, 7, 5, 10.768359, 1.251087, 0, 0, 10, 4033, 1
0, pseudo-casuale, none, 7, 6, 9.671053, 1.226324, 0, 0, 10, 3806, 1
0, pseudo-casuale, none, 7, 7, 9.231786, 1.217738, 0, 0, 10, 3501, 1
0, pseudo-casuale, none, 8, 1, 6.639099, 1.147244, 0, 0, 10, 4001, 1
0, pseudo-casuale, none, 8, 2, 5.491926, 1.123458, 0, 0, 10, 3860, 1
0, pseudo-casuale, none, 8, 3, 7.188561, 1.158657, 0, 0, 10, 4056, 1
0, pseudo-casuale, none, 8, 4, 6.678551, 1.148875, 0, 0, 10, 4061, 1
0, pseudo-casuale, none, 8, 5, 6.311908, 1.142938, 0, 0, 10, 4033, 1
0, pseudo-casuale, none, 8, 6, 5.333761, 1.117937, 0, 0, 10, 3806, 1
0, pseudo-casuale, none, 8, 7, 5.043910, 1.111836, 0, 0, 10, 3501, 1
0, pseudo-casuale, none, 9, 1, 3.414853, 1.077823, 0, 0, 10, 4001, 1
0, pseudo-casuale, none, 9, 2, 2.717573, 1.061342, 0, 0, 10, 3860, 1
0, pseudo-casuale, none, 9, 3, 3.570407, 1.082659, 0, 0, 10, 4056, 1
0, pseudo-casuale, none, 9, 4, 3.374355, 1.079209, 0, 0, 10, 4061, 1
0, pseudo-casuale, none, 9, 5, 3.287225, 1.072797, 0, 0, 10, 4033, 1
0, pseudo-casuale, none, 9, 6, 2.882596, 1.066059, 0, 0, 10, 3806, 1
0, pseudo-casuale, none, 9, 7, 2.519519, 1.060017, 0, 0, 10, 3501, 1
0, pseudo-casuale, none, 1, 1, 383.429942, 9.627563, 0, 3000, 10, 4001, 1
0, pseudo-casuale, none, 1, 2, 391.599343, 9.683964, 0, 2878, 10, 3860, 1
0, pseudo-casuale, none, 1, 3, 371.602502, 9.508494, 0, 3048, 10, 4056, 1
0, pseudo-casuale, none, 1, 4, 369.177315, 9.185025, 0, 3058, 10, 4061, 1
0, pseudo-casuale, none, 1, 5, 372.420142, 9.418765, 0, 3018, 10, 4033, 1
0, pseudo-casuale, none, 1, 6, 396.178774, 10.082950, 0, 2797, 10, 3806, 1
0, pseudo-casuale, none, 1, 7, 418.083358, 10.577641, 0, 2524, 10, 3501, 1
0, pseudo-casuale, none, 1, 1, 713.376717, 17.313332, 0, 2994, 20, 4001, 1
0, pseudo-casuale, none, 1, 2, 724.887757, 17.762903, 0, 2843, 20, 3860, 1
0, pseudo-casuale, none, 1, 3, 697.245154, 16.748697, 0, 3063, 20, 4056, 1
0, pseudo-casuale, none, 1, 4, 681.244075, 16.436939, 0, 3052, 20, 4061, 1
0, pseudo-casuale, none, 1, 5, 688.176093, 16.355040, 0, 3020, 20, 4033, 1
0, pseudo-casuale, none, 1, 6, 743.981897, 17.937700, 0, 2800, 20, 3806, 1
0, pseudo-casuale, none, 1, 7, 813.808865, 19.694999, 0, 2507, 20, 3501, 1
0, pseudo-casuale, none, 1, 1, 1016.459303, 23.965558, 0, 2974, 30, 4001, 1
0, pseudo-casuale, none, 1, 2, 1029.663381, 24.760864, 0, 2804, 30, 3860, 1
0, pseudo-casuale, none, 1, 3, 987.954201, 23.967027, 0, 3036, 30, 4056, 1
0, pseudo-casuale, none, 1, 4, 965.545101, 22.943832, 0, 3029, 30, 4061, 1
0, pseudo-casuale, none, 1, 5, 970.073636, 23.145928, 0, 2983, 30, 4033, 1
0, pseudo-casuale, none, 1, 6, 1071.289910, 25.254787, 0, 2786, 30, 3806, 1
0, pseudo-casuale, none, 1, 7, 1183.581338, 28.196227, 0, 2503, 30, 3501, 1
0, pseudo-casuale, none, 1, 1, 1303.245160, 31.189565, 0, 2959, 40, 4001, 1
0, pseudo-casuale, none, 1, 2, 1347.730067, 31.853804, 0, 2837, 40, 3860, 1
0, pseudo-casuale, none, 1, 3, 1262.794224, 30.547161, 0, 3013, 40, 4056, 1
0, pseudo-casuale, none, 1, 4, 1236.106484, 29.294673, 0, 3005, 40, 4061, 1
0, pseudo-casuale, none, 1, 5, 1249.119203, 30.252246, 0, 2969, 40, 4033, 1
0, pseudo-casuale, none, 1, 6, 1384.449564, 32.493710, 0, 2783, 40, 3806, 1
0, pseudo-casuale, none, 1, 7, 1521.472589, 35.989662, 0, 2483, 40, 3501, 1
0, pseudo-casuale, none, 1, 1, 1581.133526, 37.517147, 0, 2954, 50, 4001, 1
0, pseudo-casuale, none, 1, 2, 1623.562244, 38.685250, 0, 2806, 50, 3860, 1
0, pseudo-casuale, none, 1, 3, 1548.486532, 35.954225, 0, 3055, 50, 4056, 1
0, pseudo-casuale, none, 1, 4, 1508.456885, 35.265403, 0, 3019, 50, 4061, 1
0, pseudo-casuale, none, 1, 5, 1525.996659, 35.887043, 0, 2979, 50, 4033, 1
0, pseudo-casuale, none, 1, 6, 1663.323623, 38.828784, 0, 2761, 50, 3806, 1
0, pseudo-casuale, none, 1, 7, 1847.140459, 43.127824, 0, 2472, 50, 3501, 1
0, pseudo-casuale, none, 3, 1, 458.319422, 11.684381, 0, 1090, 10, 4001, 1
0, pseudo-casuale, none, 3, 2, 463.762093, 11.740749, 0, 965, 10, 3860, 1
0, pseudo-casuale, none, 3, 3, 452.474569, 11.548792, 0, 1144, 10, 4056, 1
0, pseudo-casuale, none, 3, 4, 454.029991, 11.624711, 0, 1116, 10, 4061, 1
0, pseudo-casuale, none, 3, 5, 456.593775, 11.654361, 0, 1092, 10, 4033, 1
0, pseudo-casuale, none, 3, 6, 441.261992, 11.187067, 0, 919, 10, 3806, 1
0, pseudo-casuale, none, 3, 7, 362.965060, 9.504265, 0, 691, 10, 3501, 1
0, pseudo-casuale, none, 3, 1, 939.106693, 22.604336, 0, 1099, 20, 4001, 1
0, pseudo-casuale, none, 3, 2, 935.423017, 22.724029, 0, 915, 20, 3860, 1
0, pseudo-casuale, none, 3, 3, 929.491285, 22.476289, 0, 1148, 20, 4056, 1
0, pseudo-casuale, none, 3, 4, 946.505197, 23.147543, 0, 1076, 20, 4061, 1
0, pseudo-casuale, none, 3, 5, 943.864392, 22.980521, 0, 1057, 20, 4033, 1
0, pseudo-casuale, none, 3, 6, 889.256016, 21.730136, 0, 874, 20, 3806, 1
0, pseudo-casuale, none, 3, 7, 724.224411, 17.864828, 0, 686, 20, 3501, 1
0, pseudo-casuale, none, 3, 1, 1365.676208, 32.686897, 0, 1028, 30, 4001, 1
0, pseudo-casuale, none, 3, 2, 1370.010863, 32.856344, 0, 889, 30, 3860, 1
0, pseudo-casuale, none, 3, 3, 1361.543417, 32.790640, 0, 1076, 30, 4056, 1
0, pseudo-casuale, none, 3, 4, 1406.537595, 33.760635, 0, 1055, 30, 4061, 1
0, pseudo-casuale, none, 3, 5, 1416.524603, 34.142198, 0, 1016, 30, 4033, 1
0, pseudo-casuale, none, 3, 6, 1302.008697, 31.422145, 0, 834, 30, 3806, 1
0, pseudo-casuale, none, 3, 7, 1077.459229, 25.912640, 0, 670, 30, 3501, 1
0, pseudo-casuale, none, 3, 1, 1786.363505, 42.720160, 0, 995, 40, 4001, 1
0, pseudo-casuale, none, 3, 2, 1759.173497, 41.863703, 0, 848, 40, 3860, 1
0, pseudo-casuale, none, 3, 3, 1773.993694, 42.411178, 0, 1057, 40, 4056, 1
0, pseudo-casuale, none, 3, 4, 1833.401049, 43.871041, 0, 1010, 40, 4061, 1
0, pseudo-casuale, none, 3, 5, 1845.100434, 44.041625, 0, 1001, 40, 4033, 1
0, pseudo-casuale, none, 3, 6, 1667.150236, 40.042868, 0, 794, 40, 3806, 1
0, pseudo-casuale, none, 3, 7, 1385.747006, 33.357218, 0, 624, 40, 3501, 1
0, pseudo-casuale, none, 3, 1, 2157.796415, 51.469022, 0, 957, 50, 4001, 1
0, pseudo-casuale, none, 3, 2, 2125.371911, 50.610542, 0, 831, 50, 3860, 1
0, pseudo-casuale, none, 3, 3, 2185.802383, 51.427164, 0, 1063, 50, 4056, 1
0, pseudo-casuale, none, 3, 4, 2243.034349, 53.327881, 0, 998, 50, 4061, 1
0, pseudo-casuale, none, 3, 5, 2249.264979, 53.447863, 0, 971, 50, 4033, 1
0, pseudo-casuale, none, 3, 6, 2026.943070, 48.209011, 0, 788, 50, 3806, 1
0, pseudo-casuale, none, 3, 7, 1710.170021, 40.201692, 0, 622, 50, 3501, 1
0, pseudo-casuale, none, 1, 1, 4787.292883, 111.365801, 0, 2810, 200, 4001, 1
0, pseudo-casuale, none, 1, 2, 4948.330746, 115.022818, 0, 2682, 200, 3860, 1
0, pseudo-casuale, none, 1, 3, 4617.433423, 108.185866, 0, 2863, 200, 4056, 1
0, pseudo-casuale, none, 1, 4, 4649.355408, 107.898033, 0, 2879, 200, 4061, 1
0, pseudo-casuale, none, 1, 5, 4700.972344, 108.934767, 0, 2827, 200, 4033, 1
0, pseudo-casuale, none, 1, 6, 4974.209565, 115.600136, 0, 2612, 200, 3806, 1
0, pseudo-casuale, none, 1, 7, 5351.382357, 125.251453, 0, 2326, 200, 3501, 1
0, pseudo-casuale, none, 1, 1, 38629.625991, 906.217647, 0, 1005, 2000, 4001, 1
0, pseudo-casuale, none, 1, 2, 39100.204255, 911.677994, 0, 869, 2000, 3860, 1
0, pseudo-casuale, none, 1, 3, 38395.583891, 891.540771, 0, 1070, 2000, 4056, 1
0, pseudo-casuale, none, 1, 4, 38642.876678, 897.626493, 0, 1063, 2000, 4061, 1
0, pseudo-casuale, none, 1, 5, 38683.208227, 905.556569, 0, 1028, 2000, 4033, 1
0, pseudo-casuale, none, 1, 6, 39362.761169, 914.931592, 0, 812, 2000, 3806, 1
0, pseudo-casuale, none, 1, 7, 40508.724063, 942.437708, 0, 528, 2000, 3501, 1
0, pseudo-casuale, none, 6, 1, 21.418624, 1.507668, 0, 0, 10, 4001, 1
0, pseudo-casuale, none, 6, 2, 18.013867, 1.421184, 0, 0, 10, 3860, 1
0, pseudo-casuale, none, 6, 3, 22.262933, 1.519525, 0, 0, 10, 4056, 1
0, pseudo-casuale, none, 6, 4, 21.445654, 1.496531, 0, 0, 10, 4061, 1
0, pseudo-casuale, none, 6, 5, 20.273694, 1.468566, 0, 0, 10, 4033, 1
0, pseudo-casuale, none, 6, 6, 17.341872, 1.398664, 0, 0, 10, 3806, 1
0, pseudo-casuale, none, 6, 7, 16.460794, 1.377178, 0, 0, 10, 3501, 1
